,dates,values
0,2010-01-01,6.0
1,2010-01-02,8.1
2,2010-01-03,24.999999999999996
3,2010-01-04,28.599999999999998
4,2010-01-05,32.6
5,2010-01-06,22.7
6,2010-01-07,24.0
7,2010-01-08,28.8
8,2010-01-09,33.39999999999999
9,2010-01-10,31.599999999999998
10,2010-01-11,29.999999999999996
11,2010-01-12,31.799999999999997
12,2010-01-13,32.800000000000004
13,2010-01-14,27.5
14,2010-01-15,30.099999999999998
15,2010-01-16,34.0
16,2010-01-17,37.199999999999996
17,2010-01-18,37.70000000000001
18,2010-01-19,36.900000000000006
19,2010-01-20,38.1
20,2010-01-21,38.30000000000001
21,2010-01-22,40.7
22,2010-01-23,41.400000000000006
23,2010-01-24,40.6
24,2010-01-25,40.1
25,2010-01-26,42.199999999999996
26,2010-01-27,38.8
27,2010-01-28,41.400000000000006
28,2010-01-29,39.4
29,2010-01-30,44.0
30,2010-01-31,38.70000000000001
31,2010-02-01,39.800000000000004
32,2010-02-02,40.7
33,2010-02-03,43.6
34,2010-02-04,46.099999999999994
35,2010-02-05,46.0
36,2010-02-06,44.00000000000001
37,2010-02-07,45.000000000000014
38,2010-02-08,51.599999999999994
39,2010-02-09,52.300000000000004
40,2010-02-10,54.00000000000001
41,2010-02-11,55.60000000000001
42,2010-02-12,55.3
43,2010-02-13,53.7
44,2010-02-14,52.1
45,2010-02-15,51.60000000000001
46,2010-02-16,60.6
47,2010-02-17,61.4
48,2010-02-18,62.8
49,2010-02-19,60.4
50,2010-02-20,63.3
51,2010-02-21,65.3
52,2010-02-22,66.3
53,2010-02-23,64.19999999999999
54,2010-02-24,62.599999999999994
55,2010-02-25,62.70000000000001
56,2010-02-26,67.79999999999998
57,2010-02-27,67.39999999999999
58,2010-02-28,64.8
59,2010-03-01,64.39999999999999
60,2010-03-02,63.6
61,2010-03-03,68.60000000000001
62,2010-03-04,73.19999999999999
63,2010-03-05,68.39999999999999
64,2010-03-06,72.0
65,2010-03-07,72.49999999999999
66,2010-03-08,76.29999999999998
67,2010-03-09,79.1
68,2010-03-10,79.29999999999998
69,2010-03-11,77.4
70,2010-03-12,79.1
71,2010-03-13,79.1
72,2010-03-14,79.7
73,2010-03-15,80.9
74,2010-03-16,84.5
75,2010-03-17,85.79999999999998
76,2010-03-18,86.89999999999999
77,2010-03-19,87.39999999999999
78,2010-03-20,88.89999999999999
79,2010-03-21,89.3
80,2010-03-22,89.2
81,2010-03-23,90.2
82,2010-03-24,92.3
83,2010-03-25,92.39999999999999
84,2010-03-26,93.2
85,2010-03-27,93.9
86,2010-03-28,94.9
87,2010-03-29,93.6
88,2010-03-30,92.79999999999998
89,2010-03-31,94.19999999999999
90,2010-04-01,98.6
91,2010-04-02,99.0
92,2010-04-03,99.69999999999999
93,2010-04-04,100.0
94,2010-04-05,100.3
95,2010-04-06,98.59999999999998
96,2010-04-07,99.8
97,2010-04-08,103.19999999999999
98,2010-04-09,104.69999999999999
99,2010-04-10,105.79999999999998
100,2010-04-11,104.6
101,2010-04-12,103.9
102,2010-04-13,109.3
103,2010-04-14,110.2
104,2010-04-15,110.49999999999999
105,2010-04-16,111.69999999999997
