,dates,values
0,2010-01-01,5.999999999999999
1,2010-01-02,7.1
2,2010-01-03,23.0
3,2010-01-04,25.599999999999998
4,2010-01-05,28.599999999999998
5,2010-01-06,17.7
6,2010-01-07,18.0
7,2010-01-08,21.8
8,2010-01-09,25.4
9,2010-01-10,22.599999999999998
10,2010-01-11,20.0
11,2010-01-12,20.799999999999997
12,2010-01-13,20.799999999999997
13,2010-01-14,14.499999999999998
14,2010-01-15,16.1
15,2010-01-16,18.999999999999996
16,2010-01-17,21.2
17,2010-01-18,20.7
18,2010-01-19,18.9
19,2010-01-20,19.099999999999998
20,2010-01-21,18.3
21,2010-01-22,19.699999999999996
22,2010-01-23,19.4
23,2010-01-24,17.599999999999998
24,2010-01-25,16.099999999999998
25,2010-01-26,17.2
26,2010-01-27,12.8
27,2010-01-28,14.4
28,2010-01-29,11.4
29,2010-01-30,15.0
30,2010-01-31,8.7
31,2010-02-01,8.8
32,2010-02-02,8.700000000000001
33,2010-02-03,10.6
34,2010-02-04,12.1
35,2010-02-05,11.0
36,2010-02-06,8.000000000000002
37,2010-02-07,8.0
38,2010-02-08,13.600000000000001
39,2010-02-09,13.299999999999999
40,2010-02-10,14.000000000000002
41,2010-02-11,14.6
42,2010-02-12,13.299999999999999
43,2010-02-13,10.7
44,2010-02-14,8.1
45,2010-02-15,6.6
46,2010-02-16,14.6
47,2010-02-17,14.4
48,2010-02-18,14.8
49,2010-02-19,11.4
50,2010-02-20,13.3
51,2010-02-21,14.299999999999999
52,2010-02-22,14.3
53,2010-02-23,11.2
54,2010-02-24,8.6
55,2010-02-25,7.699999999999999
56,2010-02-26,11.799999999999999
57,2010-02-27,10.4
58,2010-02-28,6.8
59,2010-03-01,5.3999999999999995
60,2010-03-02,3.6
61,2010-03-03,7.6000000000000005
62,2010-03-04,11.199999999999998
63,2010-03-05,5.3999999999999995
64,2010-03-06,8.0
65,2010-03-07,7.5
66,2010-03-08,10.299999999999999
67,2010-03-09,12.1
